學號,姓名,課程代碼,課程名稱,學分,教師,期中考,期末考,平時成績
41092126M,學生1245,PHU0214,實驗物理（三）,3,教師10,61,33,71
41141040S,學生1394,PHU0214,實驗物理（三）,3,教師10,46,73,11
41021038L,學生1025,PHU0214,實驗物理（三）,3,教師10,61,61,33
41230007A,學生7,PHU0214,實驗物理（三）,3,教師10,50,99,32
41006231E,學生314,PHU0214,實驗物理（三）,3,教師10,54,13,47
41268212T,學生1688,PHU0214,實驗物理（三）,3,教師10,63,94,22
41173220H,學生663,PHU0214,實驗物理（三）,3,教師10,2,47,61
41244240S,學生1532,PHC0088,生物物理（二）－結構生物物理學,3,教師4,51,2,94
41201002E,學生143,PHC0088,生物物理（二）－結構生物物理學,3,教師4,92,100,47
41030235A,學生35,PHC0088,生物物理（二）－結構生物物理學,3,教師4,14,50,14
41000119E,學生113,PHC0088,生物物理（二）－結構生物物理學,3,教師4,71,6,71
41113236E,學生493,PHC0088,生物物理（二）－結構生物物理學,3,教師4,60,20,77
41247214S,學生1550,PHC0088,生物物理（二）－結構生物物理學,3,教師4,20,72,86
41106109E,學生292,PHC0088,生物物理（二）－結構生物物理學,3,教師4,82,38,61
41190116M,學生1189,PHC0088,生物物理（二）－結構生物物理學,3,教師4,86,17,39
41123025L,學生1107,PHC0088,生物物理（二）－結構生物物理學,3,教師4,74,3,84
41222008L,學生1045,PHC0088,生物物理（二）－結構生物物理學,3,教師4,74,88,79
41100046E,學生140,PHC0088,生物物理（二）－結構生物物理學,3,教師4,87,59,81
41043211S,學生1456,PHC0088,生物物理（二）－結構生物物理學,3,教師4,99,13,52
41251008S,學生1592,PHC0088,生物物理（二）－結構生物物理學,3,教師4,23,8,23
41240020S,學生1329,PHC0088,生物物理（二）－結構生物物理學,3,教師4,2,89,25
41105045E,學生278,PHC0088,生物物理（二）－結構生物物理學,3,教師4,21,52,88
41023231L,學生1113,PHC0088,生物物理（二）－結構生物物理學,3,教師4,52,1,59
41000011E,學生105,PHC0088,生物物理（二）－結構生物物理學,3,教師4,1,83,40
410H0020I,學生923,PHC0088,生物物理（二）－結構生物物理學,3,教師4,87,91,28
41130115A,學生15,PHC0088,生物物理（二）－結構生物物理學,3,教師4,29,59,14
41230017A,學生17,PHC0088,生物物理（二）－結構生物物理學,3,教師4,37,70,44
41207018E,學生346,PHC0088,生物物理（二）－結構生物物理學,3,教師4,1,43,64
41268031T,學生1707,PHC0088,生物物理（二）－結構生物物理學,3,教師4,63,7,88
41184030I,學生892,PHC0088,生物物理（二）－結構生物物理學,3,教師4,59,46,70
41073215H,學生658,PHC0088,生物物理（二）－結構生物物理學,3,教師4,20,34,8
41200044E,學生138,PHC0088,生物物理（二）－結構生物物理學,3,教師4,32,77,87
41122040L,學生1077,PHC0088,生物物理（二）－結構生物物理學,3,教師4,75,80,0
41192109M,學生1228,PHC0088,生物物理（二）－結構生物物理學,3,教師4,57,35,7
41083142I,學生857,PHC0088,生物物理（二）－結構生物物理學,3,教師4,21,49,87
41173229H,學生672,PHC0088,生物物理（二）－結構生物物理學,3,教師4,88,3,62
41273025H,學生668,PHC0088,生物物理（二）－結構生物物理學,3,教師4,48,1,10
41144203S,學生1495,PHC0088,生物物理（二）－結構生物物理學,3,教師4,90,5,80
41032229A,學生79,PHC0088,生物物理（二）－結構生物物理學,3,教師4,58,53,7
41011044E,學生455,PHC0088,生物物理（二）－結構生物物理學,3,教師4,41,3,34
41006219E,學生302,PHC0088,生物物理（二）－結構生物物理學,3,教師4,91,53,34
41083041I,學生856,PHC0088,生物物理（二）－結構生物物理學,3,教師4,59,92,32
410H0230I,學生933,PHC0088,生物物理（二）－結構生物物理學,3,教師4,79,62,4
41151128S,學生1612,PHC0088,生物物理（二）－結構生物物理學,3,教師4,14,17,40
41032122A,學生72,PHC0088,生物物理（二）－結構生物物理學,3,教師4,61,89,27
41183221I,學生836,PHC0088,生物物理（二）－結構生物物理學,3,教師4,61,43,6
41006144E,學生327,PHC0088,生物物理（二）－結構生物物理學,3,教師4,46,33,72
41122042L,學生1079,PHC0088,生物物理（二）－結構生物物理學,3,教師4,61,73,71
41101138E,學生179,PHC0088,生物物理（二）－結構生物物理學,3,教師4,50,61,11
41121124L,學生1011,PHC0088,生物物理（二）－結構生物物理學,3,教師4,54,99,33
41102042E,學生228,PHC0088,生物物理（二）－結構生物物理學,3,教師4,63,13,32
41072117H,學生616,PHC0100,半導體物理導論（一）,3,教師11,51,6,61
41243031S,學生1476,PHC0100,半導體物理導論（一）,3,教師11,92,20,39
41176217H,學生749,PHC0100,半導體物理導論（一）,3,教師11,14,72,84
41120131L,學生978,PHC0100,半導體物理導論（一）,3,教師11,71,38,79
41007017E,學生345,PHC0100,半導體物理導論（一）,3,教師11,60,17,81
41160227T,學生1659,PHC0100,半導體物理導論（一）,3,教師11,20,3,52
41111211E,學生422,PHC0100,半導體物理導論（一）,3,教師11,82,88,23
41032202A,學生52,PHC0100,半導體物理導論（一）,3,教師11,86,59,25
41032037A,學生87,PHC0100,半導體物理導論（一）,3,教師11,74,13,88
41123247L,學生1129,PHC0100,半導體物理導論（一）,3,教師11,74,8,59
41113236E,學生493,PHC0100,半導體物理導論（一）,3,教師11,87,89,40
41157032O,學生1292,PHC0100,半導體物理導論（一）,3,教師11,99,52,28
41042215S,學生1419,PHC0100,半導體物理導論（一）,3,教師11,23,1,14
41273031H,學生674,PHC0100,半導體物理導論（一）,3,教師11,2,83,44
41276241H,學生773,PHC0100,半導體物理導論（一）,3,教師11,21,91,64
41076106H,學生738,PHC0100,半導體物理導論（一）,3,教師11,52,59,88
41260021T,學生1653,PHC0100,半導體物理導論（一）,3,教師11,1,70,70
41102104E,學生190,PHC0100,半導體物理導論（一）,3,教師11,87,43,8
41151046S,學生1630,PHC0100,半導體物理導論（一）,3,教師11,29,7,87
41247218S,學生1554,PHC0100,半導體物理導論（一）,3,教師11,37,46,0
41276131H,學生763,PHC0100,半導體物理導論（一）,3,教師11,1,34,7
41184030I,學生892,PHC0100,半導體物理導論（一）,3,教師11,63,77,87
41070114H,學生518,PHC0100,半導體物理導論（一）,3,教師11,59,80,62
41168017T,學生1693,PHC0100,半導體物理導論（一）,3,教師11,20,35,10
41175032H,學生719,PHC0100,半導體物理導論（一）,3,教師11,32,49,80
41076016H,學生748,PHC0100,半導體物理導論（一）,3,教師11,75,3,7
41140107S,學生1316,PHC0100,半導體物理導論（一）,3,教師11,57,1,34
41121115L,學生1002,PHC0100,半導體物理導論（一）,3,教師11,21,5,34
41077225H,學生798,PHC0100,半導體物理導論（一）,3,教師11,88,53,32
41084003I,學生865,PHC0100,半導體物理導論（一）,3,教師11,48,3,4
41011134E,學生445,PHC0100,半導體物理導論（一）,3,教師11,90,53,40
41057233O,學生1293,PHC0100,半導體物理導論（一）,3,教師11,58,92,27
41122128L,學生1065,PHC0100,半導體物理導論（一）,3,教師11,41,62,6
41006110E,學生293,PHC0100,半導體物理導論（一）,3,教師11,91,17,72
41183110I,學生825,PHC0100,半導體物理導論（一）,3,教師11,59,89,71
41100025E,學生119,PHC0100,半導體物理導論（一）,3,教師11,79,43,11
41070120H,學生524,PHC0100,半導體物理導論（一）,3,教師11,14,33,33
41223127L,學生1109,PHC0100,半導體物理導論（一）,3,教師11,61,73,32
41032021A,學生71,PHC0100,半導體物理導論（一）,3,教師11,61,61,47
41040128S,學生1337,PHC0100,半導體物理導論（一）,3,教師11,46,99,22
41260016T,學生1648,PHC0100,半導體物理導論（一）,3,教師11,61,13,61
41044237S,學生1529,PHC0100,半導體物理導論（一）,3,教師11,50,94,87
41057207O,學生1267,PHC0100,半導體物理導論（一）,3,教師11,54,47,36
41060208T,學生1640,PHC0100,半導體物理導論（一）,3,教師11,63,14,98
41083007I,學生822,PHC0100,半導體物理導論（一）,3,教師11,2,71,43
41044011S,學生1503,PHC0100,半導體物理導論（一）,3,教師11,100,77,85
41202023E,學生209,PHC0100,半導體物理導論（一）,3,教師11,50,86,90
41147132S,學生1568,PHC9001,固態物理導論（一）,3,教師37,51,50,43
41060209T,學生1641,PHC9001,固態物理導論（一）,3,教師37,92,54,33
41101237E,學生178,PHC9001,固態物理導論（一）,3,教師37,14,63,73
41247037S,學生1573,PHC9001,固態物理導論（一）,3,教師37,71,2,61
41013215E,學生472,PHC9001,固態物理導論（一）,3,教師37,60,100,99
41151007S,學生1591,PHC9001,固態物理導論（一）,3,教師37,20,50,13
41141203S,學生1357,PHC9001,固態物理導論（一）,3,教師37,82,6,94
41257025O,學生1285,PHC9001,固態物理導論（一）,3,教師37,86,20,47
41032229A,學生79,PHC9001,固態物理導論（一）,3,教師37,74,72,14
41268015T,學生1691,PHC9001,固態物理導論（一）,3,教師37,74,38,71
41072036H,學生635,PHC9001,固態物理導論（一）,3,教師37,87,17,77
41177012H,學生785,PHC9001,固態物理導論（一）,3,教師37,99,3,86
41009130E,學生400,PHC9001,固態物理導論（一）,3,教師37,23,88,61
41168125T,學生1701,PHC9001,固態物理導論（一）,3,教師37,2,59,39
41072018H,學生617,PHC9001,固態物理導論（一）,3,教師37,21,13,84
41113105E,學生462,PHC9001,固態物理導論（一）,3,教師37,52,8,79
41072042H,學生641,PHC9001,固態物理導論（一）,3,教師37,1,89,81
41123247L,學生1129,PHC9001,固態物理導論（一）,3,教師37,87,52,52
41283136I,學生851,PHC9001,固態物理導論（一）,3,教師37,29,1,23
41201028E,學生169,PHC9001,固態物理導論（一）,3,教師37,37,83,25
41030042A,學生42,PHC9001,固態物理導論（一）,3,教師37,1,91,88
41057233O,學生1293,PHC9001,固態物理導論（一）,3,教師37,63,59,59
41211130E,學生441,PHC9001,固態物理導論（一）,3,教師37,59,70,40
41130231A,學生31,PHC9001,固態物理導論（一）,3,教師37,20,43,28
41244027S,學生1519,PHC9001,固態物理導論（一）,3,教師37,32,7,14
41183211I,學生826,PHC9001,固態物理導論（一）,3,教師37,75,46,44
41222008L,學生1045,PHC9001,固態物理導論（一）,3,教師37,57,34,64
41257224O,學生1284,PHC9001,固態物理導論（一）,3,教師37,21,77,88
41277102H,學生775,PHC9001,固態物理導論（一）,3,教師37,88,80,70
41060113T,學生1645,PHC9001,固態物理導論（一）,3,教師37,48,35,8
41271230H,學生583,PHC9001,固態物理導論（一）,3,教師37,90,49,87
41142126S,學生1430,PHC9001,固態物理導論（一）,3,教師37,58,3,0
41102210E,學生196,PHC9001,固態物理導論（一）,3,教師37,41,1,7
41206140E,學生323,PHC9001,固態物理導論（一）,3,教師37,91,5,87
41111131E,學生442,PHC9001,固態物理導論（一）,3,教師37,59,53,62
41121119L,學生1006,PHC9001,固態物理導論（一）,3,教師37,79,3,10
41211112E,學生423,PHC9001,固態物理導論（一）,3,教師37,14,53,80
41244233S,學生1525,PHC9001,固態物理導論（一）,3,教師37,61,92,7
41292119M,學生1238,PHC9001,固態物理導論（一）,3,教師37,61,62,34
41226211L,學生1142,PHC9001,固態物理導論（一）,3,教師37,46,17,34
41251036S,學生1620,PHC9001,固態物理導論（一）,3,教師37,61,89,32
41183145I,學生860,PHC9012,海外實習,2,教師26,51,50,43
41221222L,學生1009,PHC9012,海外實習,2,教師26,92,54,33
41071126H,學生579,PHC9012,海外實習,2,教師26,14,63,73
41020224L,學生971,PHC9012,海外實習,2,教師26,71,2,61
41075039H,學生726,PHC9012,海外實習,2,教師26,60,100,99
41222222L,學生1059,PHC9012,海外實習,2,教師26,20,50,13
41130115A,學生15,PHC9012,海外實習,2,教師26,82,6,94
41151040S,學生1624,PHC9012,海外實習,2,教師26,86,20,47
41200015E,學生109,PHC9012,海外實習,2,教師26,74,72,14
41060208T,學生1640,PHC9012,海外實習,2,教師26,74,38,71
41044001S,學生1493,PHC9012,海外實習,2,教師26,87,17,77
41001224E,學生165,PHC9012,海外實習,2,教師26,99,3,86
41106003E,學生286,PHC9012,海外實習,2,教師26,23,88,61
41126034L,學生1165,PHC9012,海外實習,2,教師26,2,59,39
41070128H,學生532,PHC9012,海外實習,2,教師26,21,13,84
41176205H,學生737,PHC9012,海外實習,2,教師26,52,8,79
41044016S,學生1508,PHC9012,海外實習,2,教師26,1,89,81
41072018H,學生617,PHC9012,海外實習,2,教師26,87,52,52
41070127H,學生531,PHC9012,海外實習,2,教師26,29,1,23
41172033H,學生632,PHC9012,海外實習,2,教師26,37,83,25
41101138E,學生179,PHC9012,海外實習,2,教師26,1,91,88
41243036S,學生1481,PHC9012,海外實習,2,教師26,63,59,59
41002106E,學生192,PHC9012,海外實習,2,教師26,59,70,40
41226102L,學生1133,PHC9012,海外實習,2,教師26,20,43,28
41268030T,學生1706,PHC9012,海外實習,2,教師26,32,7,14
41271213H,學生566,PHC9012,海外實習,2,教師26,75,46,44
41057004O,學生1264,PHC9012,海外實習,2,教師26,57,34,64
41211103E,學生414,PHC9012,海外實習,2,教師26,21,77,88
41120131L,學生978,PHC9012,海外實習,2,教師26,88,80,70
41183144I,學生859,PHC9012,海外實習,2,教師26,48,35,8
41241038S,學生1392,PHC9012,海外實習,2,教師26,90,49,87
41005032E,學生265,PHC9012,海外實習,2,教師26,58,3,0
41123006L,學生1088,PHC9012,海外實習,2,教師26,41,1,7
41222129L,學生1066,PHC9012,海外實習,2,教師26,91,5,87
41243235S,學生1480,PHC9012,海外實習,2,教師26,59,53,62
41040021S,學生1330,PHC9012,海外實習,2,教師26,79,3,10
41175227H,學生714,PHC9012,海外實習,2,教師26,14,53,80
41101232E,學生173,PHC9012,海外實習,2,教師26,61,92,7
41277102H,學生775,PHC9012,海外實習,2,教師26,61,62,34
41242229S,學生1433,PHC9012,海外實習,2,教師26,46,17,34
41171044H,學生597,PHC9012,海外實習,2,教師26,61,89,32
411H0140I,學生943,PHC9014,新興材料與光電元件（一）,3,教師25,51,2,94
41173116H,學生659,PHC9014,新興材料與光電元件（一）,3,教師25,92,100,47
41005044E,學生277,PHC9014,新興材料與光電元件（一）,3,教師25,14,50,14
41223113L,學生1095,PHC9014,新興材料與光電元件（一）,3,教師25,71,6,71
41111039E,學生450,PHC9014,新興材料與光電元件（一）,3,教師25,60,20,77
41276226H,學生758,PHC9014,新興材料與光電元件（一）,3,教師25,20,72,86
41202246E,學生232,PHC9014,新興材料與光電元件（一）,3,教師25,82,38,61
41076037H,學生769,PHC9014,新興材料與光電元件（一）,3,教師25,86,17,39
41009211E,學生381,PHC9014,新興材料與光電元件（一）,3,教師25,74,3,84
41107026E,學生354,PHC9014,新興材料與光電元件（一）,3,教師25,74,88,79
41075142H,學生729,PHC9014,新興材料與光電元件（一）,3,教師25,87,59,81
41032141A,學生91,PHC9014,新興材料與光電元件（一）,3,教師25,99,13,52
41140001S,學生1310,PHC9014,新興材料與光電元件（一）,3,教師25,23,8,23
41041149S,學生1403,PHC9014,新興材料與光電元件（一）,3,教師25,2,89,25
41176009H,學生741,PHC9014,新興材料與光電元件（一）,3,教師25,21,52,88
41206114E,學生297,PHC9014,新興材料與光電元件（一）,3,教師25,52,1,59
41057108O,學生1268,PHC9014,新興材料與光電元件（一）,3,教師25,1,83,40
41076236H,學生768,PHC9014,新興材料與光電元件（一）,3,教師25,87,91,28
41173229H,學生672,PHC9014,新興材料與光電元件（一）,3,教師25,29,59,14
41211130E,學生441,PHC9014,新興材料與光電元件（一）,3,教師25,37,70,44
41071208H,學生561,PHC9014,新興材料與光電元件（一）,3,教師25,1,43,64
41001224E,學生165,PHC9014,新興材料與光電元件（一）,3,教師25,63,7,88
41205119E,學生252,PHC9014,新興材料與光電元件（一）,3,教師25,59,46,70
41140234S,學生1343,PHC9014,新興材料與光電元件（一）,3,教師25,20,34,8
41247240S,學生1576,PHC9014,新興材料與光電元件（一）,3,教師25,32,77,87
41221208L,學生995,PHC9014,新興材料與光電元件（一）,3,教師25,75,80,0
41070125H,學生529,PHC9014,新興材料與光電元件（一）,3,教師25,57,35,7
41142217S,學生1421,PHC9014,新興材料與光電元件（一）,3,教師25,21,49,87
41272127H,學生626,PHC9014,新興材料與光電元件（一）,3,教師25,88,3,62
41032043A,學生93,PHC9014,新興材料與光電元件（一）,3,教師25,48,1,10
41030236A,學生36,PHC9014,新興材料與光電元件（一）,3,教師25,90,5,80
41142001S,學生1405,PHC9014,新興材料與光電元件（一）,3,教師25,58,53,7
41183203I,學生818,PHC9014,新興材料與光電元件（一）,3,教師25,41,3,34
41240143S,學生1352,PHC9014,新興材料與光電元件（一）,3,教師25,91,53,34
41126224L,學生1155,PHC9014,新興材料與光電元件（一）,3,教師25,59,92,32
41211116E,學生427,PHC9014,新興材料與光電元件（一）,3,教師25,79,62,4
41002109E,學生195,PHC9014,新興材料與光電元件（一）,3,教師25,14,17,40
41268226T,學生1702,PHC9014,新興材料與光電元件（一）,3,教師25,61,89,27
41006021E,學生304,PHC9014,新興材料與光電元件（一）,3,教師25,61,43,6
41207036E,學生364,PHC9014,新興材料與光電元件（一）,3,教師25,46,33,72
41143124S,學生1469,PHC9014,新興材料與光電元件（一）,3,教師25,61,73,71
41084134I,學生896,PHC9014,新興材料與光電元件（一）,3,教師25,50,61,11
41101009E,學生150,PHC9014,新興材料與光電元件（一）,3,教師25,54,99,33
41023221L,學生1103,PHC9014,新興材料與光電元件（一）,3,教師25,63,13,32
41209131E,學生401,PHU0224,普通物理實驗（一）,1,教師31,51,72,81
41260021T,學生1653,PHU0224,普通物理實驗（一）,1,教師31,92,38,52
41141102S,學生1356,PHU0224,普通物理實驗（一）,1,教師31,14,17,23
41043028S,學生1473,PHU0224,普通物理實驗（一）,1,教師31,71,3,25
41084223I,學生885,PHU0224,普通物理實驗（一）,1,教師31,60,88,88
41042136S,學生1440,PHU0224,普通物理實驗（一）,1,教師31,20,59,59
41042021S,學生1425,PHU0224,普通物理實驗（一）,1,教師31,82,13,40
41240218S,學生1327,PHU0224,普通物理實驗（一）,1,教師31,86,8,28
41041125S,學生1379,PHU0224,普通物理實驗（一）,1,教師31,74,89,14
41140036S,學生1345,PHU0224,普通物理實驗（一）,1,教師31,74,52,44
41242229S,學生1433,PHU0224,普通物理實驗（一）,1,教師31,87,1,64
41032214A,學生64,PHU0224,普通物理實驗（一）,1,教師31,99,83,88
41211033E,學生444,PHU0224,普通物理實驗（一）,1,教師31,23,91,70
41211108E,學生419,PHU0224,普通物理實驗（一）,1,教師31,2,59,8
412H0234I,學生937,PHU0224,普通物理實驗（一）,1,教師31,21,70,87
41157209O,學生1269,PHU0224,普通物理實驗（一）,1,教師31,52,43,0
41051130S,學生1614,PHU0224,普通物理實驗（一）,1,教師31,1,7,7
41047212S,學生1548,PHU0224,普通物理實驗（一）,1,教師31,87,46,87
41207240E,學生368,PHU0224,普通物理實驗（一）,1,教師31,29,34,62
41221236L,學生1023,PHU0224,普通物理實驗（一）,1,教師31,37,77,10
41209127E,學生397,PHU0224,普通物理實驗（一）,1,教師31,1,80,80
41176229H,學生761,PHU0224,普通物理實驗（一）,1,教師31,63,35,7
41144232S,學生1524,PHU0224,普通物理實驗（一）,1,教師31,59,49,34
41222005L,學生1042,PHU0224,普通物理實驗（一）,1,教師31,20,3,34
41157014O,學生1274,PHU0224,普通物理實驗（一）,1,教師31,32,1,32
41223217L,學生1099,PHU0224,普通物理實驗（一）,1,教師31,75,5,4
41000213E,學生107,PHU0224,普通物理實驗（一）,1,教師31,57,53,40
41105210E,學生243,PHU0224,普通物理實驗（一）,1,教師31,21,3,27
41183145I,學生860,PHU0224,普通物理實驗（一）,1,教師31,88,53,6
41257146O,學生1306,PHU0224,普通物理實驗（一）,1,教師31,48,92,72
41273103H,學生646,PHU0224,普通物理實驗（一）,1,教師31,90,62,71
41284036I,學生898,PHU0224,普通物理實驗（一）,1,教師31,58,17,11
41011207E,學生418,PHU0224,普通物理實驗（一）,1,教師31,41,89,33
41043029S,學生1474,PHU0224,普通物理實驗（一）,1,教師31,91,43,32
41176239H,學生771,PHU0224,普通物理實驗（一）,1,教師31,59,33,47
41121045L,學生1032,PHU0224,普通物理實驗（一）,1,教師31,79,73,22
41220113L,學生960,PHU0224,普通物理實驗（一）,1,教師31,14,61,61
41077023H,學生796,PHU0224,普通物理實驗（一）,1,教師31,61,99,87
41070017H,學生521,PHU0224,普通物理實驗（一）,1,教師31,61,13,36
41109226E,學生396,PHU0224,普通物理實驗（一）,1,教師31,46,94,98
41184032I,學生894,PHU0224,普通物理實驗（一）,1,教師31,61,47,43
41223127L,學生1109,PHU0224,普通物理實驗（一）,1,教師31,50,14,85
41051138S,學生1622,PHU0224,普通物理實驗（一）,1,教師31,54,71,90
41111211E,學生422,PHU0224,普通物理實驗（一）,1,教師31,63,77,34
41006110E,學生293,PHU0224,普通物理實驗（一）,1,教師31,2,86,64
41070114H,學生518,PHU0224,普通物理實驗（一）,1,教師31,100,61,98
41213003E,學生460,PHU0224,普通物理實驗（一）,1,教師31,50,39,100
41077134H,學生807,PHU0224,普通物理實驗（一）,1,教師31,6,84,46
41226028L,學生1159,PHU0224,普通物理實驗（一）,1,教師31,20,79,77
41123139L,學生1121,PHU0251,普通物理乙（一）,3,教師12,51,72,81
41171044H,學生597,PHU0251,普通物理乙（一）,3,教師12,92,38,52
41268221T,學生1697,PHU0251,普通物理乙（一）,3,教師12,14,17,23
41113207E,學生464,PHU0251,普通物理乙（一）,3,教師12,71,3,25
41170243H,學生547,PHU0251,普通物理乙（一）,3,教師12,60,88,88
41251217S,學生1601,PHU0251,普通物理乙（一）,3,教師12,20,59,59
41271038H,學生591,PHU0251,普通物理乙（一）,3,教師12,82,13,40
41244126S,學生1518,PHU0251,普通物理乙（一）,3,教師12,86,8,28
41106116E,學生299,PHU0251,普通物理乙（一）,3,教師12,74,89,14
41120138L,學生985,PHU0251,普通物理乙（一）,3,教師12,74,52,44
41273117H,學生660,PHU0251,普通物理乙（一）,3,教師12,87,1,64
41060239T,學生1671,PHU0251,普通物理乙（一）,3,教師12,99,83,88
41090126M,學生1199,PHU0251,普通物理乙（一）,3,教師12,23,91,70
41144203S,學生1495,PHU0251,普通物理乙（一）,3,教師12,2,59,8
41171236H,學生589,PHU0251,普通物理乙（一）,3,教師12,21,70,87
41247240S,學生1576,PHU0251,普通物理乙（一）,3,教師12,52,43,0
41105006E,學生239,PHU0251,普通物理乙（一）,3,教師12,1,7,7
41290018M,學生1191,PHU0251,普通物理乙（一）,3,教師12,87,46,87
41120012L,學生959,PHU0251,普通物理乙（一）,3,教師12,29,34,62
41101126E,學生167,PHU0251,普通物理乙（一）,3,教師12,37,77,10
41241122S,學生1376,PHU0251,普通物理乙（一）,3,教師12,1,80,80
41009122E,學生392,PHU0251,普通物理乙（一）,3,教師12,63,35,7
41102034E,學生220,PHU0251,普通物理乙（一）,3,教師12,59,49,34
41251204S,學生1588,PHU0251,普通物理乙（一）,3,教師12,20,3,34
41121009L,學生996,PHU0251,普通物理乙（一）,3,教師12,32,1,32
41206127E,學生310,PHU0251,普通物理乙（一）,3,教師12,75,5,4
41102225E,學生211,PHU0251,普通物理乙（一）,3,教師12,57,53,40
41241041S,學生1395,PHU0251,普通物理乙（一）,3,教師12,21,3,27
41173041H,學生684,PHU0251,普通物理乙（一）,3,教師12,88,53,6
411H0118I,學生921,PHU0251,普通物理乙（一）,3,教師12,48,92,72
410H0031I,學生934,PHU0251,普通物理乙（一）,3,教師12,90,62,71
41121141L,學生1028,PHU0251,普通物理乙（一）,3,教師12,58,17,11
41270218H,學生522,PHU0251,普通物理乙（一）,3,教師12,41,89,33
41084209I,學生871,PHU0251,普通物理乙（一）,3,教師12,91,43,32
41107111E,學生339,PHU0251,普通物理乙（一）,3,教師12,59,33,47
41222223L,學生1060,PHU0251,普通物理乙（一）,3,教師12,79,73,22
41140139S,學生1348,PHU0251,普通物理乙（一）,3,教師12,14,61,61
41113119E,學生476,PHU0251,普通物理乙（一）,3,教師12,61,99,87
41107230E,學生358,PHU0251,普通物理乙（一）,3,教師12,61,13,36
41002145E,學生231,PHU0251,普通物理乙（一）,3,教師12,46,94,98
41126029L,學生1160,PHU0251,普通物理乙（一）,3,教師12,61,47,43
41247234S,學生1570,PHU0251,普通物理乙（一）,3,教師12,50,14,85
41273103H,學生646,PHU0251,普通物理乙（一）,3,教師12,54,71,90
41170134H,學生538,PHU0251,普通物理乙（一）,3,教師12,63,77,34
41075039H,學生726,PHU0251,普通物理乙（一）,3,教師12,2,86,64
41144241S,學生1533,PHU0251,普通物理乙（一）,3,教師12,100,61,98
41242135S,學生1439,PHU0251,普通物理乙（一）,3,教師12,50,39,100
41160036T,學生1668,PHU0251,普通物理乙（一）,3,教師12,6,84,46
41147142S,學生1578,PHU0251,普通物理乙（一）,3,教師12,20,79,77
41247036S,學生1572,PHU0253,基礎物理,3,教師5,51,50,43
41144125S,學生1517,PHU0253,基礎物理,3,教師5,92,54,33
41144213S,學生1505,PHU0253,基礎物理,3,教師5,14,63,73
41077133H,學生806,PHU0253,基礎物理,3,教師5,71,2,61
41260021T,學生1653,PHU0253,基礎物理,3,教師5,60,100,99
